Not using distributed mode
git:
  sha: 85b8696e6a0ce62526bd5f21358c671dcf69dc24, status: has uncommited changes, branch: main

Namespace(aux_loss=True, backbone='resnet101', batch_size=16, bbox_loss_coef=5, clip_max_norm=0.1, coco_panoptic_path=None, coco_path='/data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p', cons_loss=False, cons_loss_coef=10, data_augment=True, dataset_file='rsna', dec_layers=6, device='cuda', dice_loss_coef=1, dilation=False, dim_feedforward=2048, dist_url='env://', distributed=False, dropout=0.1, enc_layers=6, eos_coef=0.1, epochs=111, eval=False, frozen_weights=None, generate_pseudo_bbox=False, giou_loss_coef=2, hidden_dim=256, load_from='', lr=0.0001, lr_backbone=1e-05, lr_drop=[72, 96], mask_loss_coef=1, masks=False, nheads=8, num_queries=100, num_workers=16, output_dir='/data/sundeep/Point-Beyond-Class/Output/outfiles/models/RSNA/exp4_stage1_data50p_1pts_Erase20_jit005_unlabelLossL2Loss50_Load2ptsconsPth_resnet101', partial=50, position_embedding='v4', pre_norm=True, remove_difficult=False, resume='', sample_points_num=1, save_csv=None, save_evaltxt_forDraw=False, seed=42, set_cost_bbox=5, set_cost_class=1, set_cost_giou=2, start_epoch=0, start_sample_UnSupImg=80, train_with_unlabel_imgs=True, unlabel_cons_loss_coef=50.0, val_data='val', weight_decay=0.0001, world_size=1)
weight dict ..  {'loss_ce': 1, 'loss_bbox': 5, 'loss_giou': 2, 'loss_unlabelcons': 50.0, 'loss_ce_0': 1, 'loss_bbox_0': 5, 'loss_giou_0': 2, 'loss_unlabelcons_0': 50.0, 'loss_ce_1': 1, 'loss_bbox_1': 5, 'loss_giou_1': 2, 'loss_unlabelcons_1': 50.0, 'loss_ce_2': 1, 'loss_bbox_2': 5, 'loss_giou_2': 2, 'loss_unlabelcons_2': 50.0, 'loss_ce_3': 1, 'loss_bbox_3': 5, 'loss_giou_3': 2, 'loss_unlabelcons_3': 50.0, 'loss_ce_4': 1, 'loss_bbox_4': 5, 'loss_giou_4': 2, 'loss_unlabelcons_4': 50.0}
number of params: 60233992
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/instances_trainBox.json
loading annotations into memory...
Done (t=0.02s)
creating index...
index created!
=====> training with unlabeled imgs (point annotation)
loading annotations into memory...
Done (t=0.07s)
creating index...
index created!
=====> /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/100p/instances_trainBox.json
sample points num ..  1
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/../instances_val.json
loading annotations into memory...
Done (t=0.01s)
creating index...
index created!
sample points num ..  1
training data:
num:  4809
sample:  5 (tensor([[[-1.9809, -1.9809, -1.9809,  ..., -2.0494, -2.0665, -2.1008],
         [-1.9638, -1.9638, -1.9638,  ..., -2.0323, -2.0665, -2.1008],
         [-1.9809, -1.9809, -1.9809,  ..., -2.0323, -2.0494, -2.0837],
         ...,
         [ 0.6563,  0.7248,  0.7077,  ..., -1.9467, -1.9295, -2.0494],
         [ 0.6049,  0.6734,  0.6563,  ..., -1.9295, -1.9467, -2.0494],
         [-0.7650, -0.7650, -0.7650,  ..., -2.0152, -2.0323, -2.0837]],

        [[-1.8957, -1.8957, -1.8957,  ..., -1.9657, -1.9832, -2.0182],
         [-1.8782, -1.8782, -1.8782,  ..., -1.9482, -1.9832, -2.0182],
         [-1.8957, -1.8957, -1.8957,  ..., -1.9482, -1.9657, -2.0007],
         ...,
         [ 0.8004,  0.8704,  0.8529,  ..., -1.8606, -1.8431, -1.9657],
         [ 0.7479,  0.8179,  0.8004,  ..., -1.8431, -1.8606, -1.9657],
         [-0.6527, -0.6527, -0.6527,  ..., -1.9307, -1.9482, -2.0007]],

        [[-1.6650, -1.6650, -1.6650,  ..., -1.7347, -1.7522, -1.7870],
         [-1.6476, -1.6476, -1.6476,  ..., -1.7173, -1.7522, -1.7870],
         [-1.6650, -1.6650, -1.6650,  ..., -1.7173, -1.7347, -1.7696],
         ...,
         [ 1.0191,  1.0888,  1.0714,  ..., -1.6302, -1.6127, -1.7347],
         [ 0.9668,  1.0365,  1.0191,  ..., -1.6127, -1.6302, -1.7347],
         [-0.4275, -0.4275, -0.4275,  ..., -1.6999, -1.7173, -1.7696]]]), {'labels': tensor([1, 1]), 'object_ids': tensor([0, 1]), 'points': tensor([[0.3183, 0.2749],
        [0.5916, 0.6803]])}, {'boxes': tensor([[0.2310, 0.5317, 0.3096, 0.5264],
        [0.6040, 0.5762, 0.2510, 0.4512]])}, '000000.jpg', False)
====================================================================================================
using MyBalancedSampler and  50\% data.
====================================================================================================
Start training (Hypothesis 1: ResNet101 backbone)
epoch imgs: 4800
Epoch: [0]  [  0/300]  eta: 0:12:41  lr: 0.000100  loss: 5.1256 (5.1256)  loss_bbox: 3.1487 (3.1487)  loss_giou: 1.6522 (1.6522)  loss_unlabelcons: 0.3247 (0.3247)  time: 2.5372  data: 1.4830  max mem: 7856
Epoch: [0]  [ 10/300]  eta: 0:05:44  lr: 0.000100  loss: 3.6951 (3.8108)  loss_bbox: 2.1039 (2.1968)  loss_giou: 1.4706 (1.4642)  loss_unlabelcons: 0.1338 (0.1498)  time: 1.1888  data: 0.1522  max mem: 9197
Epoch: [0]  [210/300]  eta: 0:01:27  lr: 0.000100  loss: 3.1430 (3.3258)  loss_bbox: 1.5476 (1.7314)  loss_giou: 1.4416 (1.4574)  loss_unlabelcons: 0.1309 (0.1371)  time: 0.9690  data: 0.0354  max mem: 9834
Epoch: [0]  [220/300]  eta: 0:01:18  lr: 0.000100  loss: 3.1772 (3.3180)  loss_bbox: 1.5476 (1.7254)  loss_giou: 1.4297 (1.4558)  loss_unlabelcons: 0.1321 (0.1368)  time: 1.0164  data: 0.0238  max mem: 10468
Epoch: [0]  [230/300]  eta: 0:01:08  lr: 0.000100  loss: 2.9682 (3.3059)  loss_bbox: 1.4825 (1.7150)  loss_giou: 1.4149 (1.4542)  loss_unlabelcons: 0.1318 (0.1367)  time: 0.9546  data: 0.0244  max mem: 10468
Epoch: [0]  [240/300]  eta: 0:00:58  lr: 0.000100  loss: 3.2394 (3.3121)  loss_bbox: 1.6418 (1.7182)  loss_giou: 1.4431 (1.4573)  loss_unlabelcons: 0.1353 (0.1367)  time: 0.9307  data: 0.0245  max mem: 10468
Epoch: [0]  [250/300]  eta: 0:00:48  lr: 0.000100  loss: 3.2788 (3.3132)  loss_bbox: 1.6653 (1.7180)  loss_giou: 1.4952 (1.4586)  loss_unlabelcons: 0.1351 (0.1366)  time: 0.9856  data: 0.0238  max mem: 10468
Epoch: [0]  [260/300]  eta: 0:00:39  lr: 0.000100  loss: 3.2094 (3.3114)  loss_bbox: 1.6009 (1.7171)  loss_giou: 1.4792 (1.4579)  loss_unlabelcons: 0.1339 (0.1364)  time: 1.0205  data: 0.0354  max mem: 10468
Epoch: [0]  [270/300]  eta: 0:00:29  lr: 0.000100  loss: 3.1636 (3.3072)  loss_bbox: 1.6009 (1.7140)  loss_giou: 1.4747 (1.4571)  loss_unlabelcons: 0.1273 (0.1360)  time: 1.0371  data: 0.0242  max mem: 10468
Epoch: [0]  [280/300]  eta: 0:00:19  lr: 0.000100  loss: 3.1636 (3.2977)  loss_bbox: 1.5369 (1.7060)  loss_giou: 1.4445 (1.4564)  loss_unlabelcons: 0.1255 (0.1353)  time: 1.0368  data: 0.0232  max mem: 10468
Epoch: [0]  [290/300]  eta: 0:00:09  lr: 0.000100  loss: 3.0089 (3.2879)  loss_bbox: 1.4803 (1.6995)  loss_giou: 1.4303 (1.4549)  loss_unlabelcons: 0.0998 (0.1334)  time: 0.9887  data: 0.0313  max mem: 10468
Epoch: [0]  [299/300]  eta: 0:00:00  lr: 0.000100  loss: 3.0703 (3.2827)  loss_bbox: 1.5630 (1.6970)  loss_giou: 1.4133 (1.4551)  loss_unlabelcons: 0.0617 (0.1306)  time: 0.9644  data: 0.0203  max mem: 10468
Epoch: [0] Total time: 0:04:54 (0.9819 s / it)
Averaged stats: lr: 0.000100  loss: 3.0703 (3.2827)  loss_bbox: 1.5630 (1.6970)  loss_giou: 1.4133 (1.4551)  loss_unlabelcons: 0.0617 (0.1306)
epoch imgs: 4800
Epoch: [1]  [  0/300]  eta: 0:11:11  lr: 0.000100  loss: 3.3573 (3.3573)  loss_bbox: 1.7434 (1.7434)  loss_giou: 1.5990 (1.5990)  loss_unlabelcons: 0.0149 (0.0149)  time: 2.2397  data: 1.5032  max mem: 10468
Epoch: [1]  [ 10/300]  eta: 0:05:24  lr: 0.000100  loss: 3.0809 (3.1001)  loss_bbox: 1.6356 (1.6314)  loss_giou: 1.4492 (1.4536)  loss_unlabelcons: 0.0149 (0.0152)  time: 1.1198  data: 0.1562  max mem: 10468
Epoch: [1]  [ 20/300]  eta: 0:04:48  lr: 0.000100  loss: 3.0371 (3.0019)  loss_bbox: 1.6046 (1.5521)  loss_giou: 1.4343 (1.4379)  loss_unlabelcons: 0.0115 (0.0119)  time: 0.9688  data: 0.0280  max mem: 10468
Epoch: [1]  [ 30/300]  eta: 0:04:28  lr: 0.000100  loss: 2.9790 (3.0401)  loss_bbox: 1.4601 (1.5839)  loss_giou: 1.4286 (1.4403)  loss_unlabelcons: 0.0107 (0.0159)  time: 0.9245  data: 0.0229  max mem: 10468
Epoch: [1]  [ 40/300]  eta: 0:04:10  lr: 0.000100  loss: 3.1539 (3.0650)  loss_bbox: 1.7055 (1.5989)  loss_giou: 1.4529 (1.4485)  loss_unlabelcons: 0.0208 (0.0176)  time: 0.8911  data: 0.0239  max mem: 10468
Epoch: [1]  [ 50/300]  eta: 0:04:06  lr: 0.000100  loss: 3.2395 (3.1233)  loss_bbox: 1.7535 (1.6526)  loss_giou: 1.4779 (1.4544)  loss_unlabelcons: 0.0095 (0.0162)  time: 0.9720  data: 0.0386  max mem: 10468
Epoch: [1]  [ 60/300]  eta: 0:03:59  lr: 0.000100  loss: 3.2395 (3.1631)  loss_bbox: 1.8000 (1.6940)  loss_giou: 1.4799 (1.4539)  loss_unlabelcons: 0.0078 (0.0152)  time: 1.0665  data: 0.0260  max mem: 10468
Epoch: [1]  [ 70/300]  eta: 0:03:48  lr: 0.000100  loss: 3.1075 (3.1521)  loss_bbox: 1.6497 (1.6886)  loss_giou: 1.4535 (1.4495)  loss_unlabelcons: 0.0065 (0.0140)  time: 1.0097  data: 0.0237  max mem: 10468
Epoch: [1]  [ 80/300]  eta: 0:03:33  lr: 0.000100  loss: 3.0123 (3.1609)  loss_bbox: 1.6250 (1.6981)  loss_giou: 1.4349 (1.4492)  loss_unlabelcons: 0.0065 (0.0136)  time: 0.8880  data: 0.0243  max mem: 10468
Epoch: [1]  [ 90/300]  eta: 0:03:22  lr: 0.000100  loss: 3.0201 (3.1585)  loss_bbox: 1.5278 (1.6938)  loss_giou: 1.4509 (1.4508)  loss_unlabelcons: 0.0094 (0.0140)  time: 0.8679  data: 0.0240  max mem: 10468
Epoch: [1]  [100/300]  eta: 0:03:11  lr: 0.000100  loss: 3.0978 (3.1639)  loss_bbox: 1.5478 (1.6971)  loss_giou: 1.4509 (1.4500)  loss_unlabelcons: 0.0069 (0.0168)  time: 0.9083  data: 0.0362  max mem: 10468
Epoch: [1]  [110/300]  eta: 0:03:03  lr: 0.000100  loss: 3.1664 (3.1648)  loss_bbox: 1.6963 (1.6950)  loss_giou: 1.4475 (1.4505)  loss_unlabelcons: 0.0199 (0.0193)  time: 0.9582  data: 0.0240  max mem: 10468
Epoch: [1]  [120/300]  eta: 0:02:54  lr: 0.000100  loss: 3.1960 (3.1684)  loss_bbox: 1.6963 (1.6995)  loss_giou: 1.4544 (1.4507)  loss_unlabelcons: 0.0139 (0.0182)  time: 1.0227  data: 0.0238  max mem: 10468
Epoch: [1]  [130/300]  eta: 0:02:45  lr: 0.000100  loss: 3.2008 (3.1733)  loss_bbox: 1.6621 (1.7007)  loss_giou: 1.4723 (1.4543)  loss_unlabelcons: 0.0080 (0.0183)  time: 1.0465  data: 0.0356  max mem: 10468
Epoch: [1]  [140/300]  eta: 0:02:37  lr: 0.000100  loss: 3.0203 (3.1635)  loss_bbox: 1.5667 (1.6966)  loss_giou: 1.4360 (1.4494)  loss_unlabelcons: 0.0081 (0.0174)  time: 1.0913  data: 0.0237  max mem: 10468
Epoch: [1]  [150/300]  eta: 0:02:27  lr: 0.000100  loss: 3.1273 (3.1666)  loss_bbox: 1.6357 (1.6990)  loss_giou: 1.4310 (1.4507)  loss_unlabelcons: 0.0076 (0.0169)  time: 1.0498  data: 0.0240  max mem: 10468
Epoch: [1]  [160/300]  eta: 0:02:16  lr: 0.000100  loss: 3.1707 (3.1666)  loss_bbox: 1.6528 (1.7001)  loss_giou: 1.4726 (1.4500)  loss_unlabelcons: 0.0087 (0.0164)  time: 0.9006  data: 0.0242  max mem: 10468
Epoch: [1]  [170/300]  eta: 0:02:07  lr: 0.000100  loss: 3.2460 (3.1824)  loss_bbox: 1.7180 (1.7131)  loss_giou: 1.4877 (1.4537)  loss_unlabelcons: 0.0031 (0.0156)  time: 0.9393  data: 0.0241  max mem: 10468
Epoch: [1]  [180/300]  eta: 0:01:58  lr: 0.000100  loss: 3.0711 (3.1722)  loss_bbox: 1.6083 (1.7051)  loss_giou: 1.4877 (1.4522)  loss_unlabelcons: 0.0020 (0.0149)  time: 1.0620  data: 0.0363  max mem: 10468
Epoch: [1]  [190/300]  eta: 0:01:48  lr: 0.000100  loss: 3.0330 (3.1727)  loss_bbox: 1.5741 (1.7043)  loss_giou: 1.4541 (1.4540)  loss_unlabelcons: 0.0039 (0.0144)  time: 0.9963  data: 0.0245  max mem: 10468
Epoch: [1]  [200/300]  eta: 0:01:37  lr: 0.000100  loss: 2.9702 (3.1682)  loss_bbox: 1.5811 (1.7011)  loss_giou: 1.4541 (1.4528)  loss_unlabelcons: 0.0058 (0.0142)  time: 0.9283  data: 0.0241  max mem: 10468
Epoch: [1]  [210/300]  eta: 0:01:28  lr: 0.000100  loss: 3.0082 (3.1683)  loss_bbox: 1.6205 (1.7019)  loss_giou: 1.4560 (1.4526)  loss_unlabelcons: 0.0058 (0.0138)  time: 0.9703  data: 0.0350  max mem: 10468
Epoch: [1]  [220/300]  eta: 0:01:18  lr: 0.000100  loss: 3.1250 (3.1674)  loss_bbox: 1.6679 (1.7003)  loss_giou: 1.4560 (1.4538)  loss_unlabelcons: 0.0031 (0.0134)  time: 1.0097  data: 0.0237  max mem: 10468
Epoch: [1]  [230/300]  eta: 0:01:09  lr: 0.000100  loss: 3.1249 (3.1710)  loss_bbox: 1.6636 (1.7026)  loss_giou: 1.4505 (1.4556)  loss_unlabelcons: 0.0024 (0.0129)  time: 1.0509  data: 0.0252  max mem: 10468
Epoch: [1]  [240/300]  eta: 0:00:59  lr: 0.000100  loss: 3.1791 (3.1734)  loss_bbox: 1.6603 (1.7038)  loss_giou: 1.4577 (1.4572)  loss_unlabelcons: 0.0021 (0.0125)  time: 1.0360  data: 0.0236  max mem: 10468
Epoch: [1]  [250/300]  eta: 0:00:49  lr: 0.000100  loss: 3.2000 (3.1755)  loss_bbox: 1.6925 (1.7041)  loss_giou: 1.5037 (1.4593)  loss_unlabelcons: 0.0025 (0.0121)  time: 0.9713  data: 0.0238  max mem: 10468
Epoch: [1]  [260/300]  eta: 0:00:39  lr: 0.000100  loss: 3.0697 (3.1690)  loss_bbox: 1.6208 (1.6995)  loss_giou: 1.4879 (1.4577)  loss_unlabelcons: 0.0038 (0.0118)  time: 0.9732  data: 0.0361  max mem: 10468
Epoch: [1]  [270/300]  eta: 0:00:29  lr: 0.000100  loss: 3.0158 (3.1652)  loss_bbox: 1.6255 (1.6985)  loss_giou: 1.3974 (1.4549)  loss_unlabelcons: 0.0051 (0.0118)  time: 0.9383  data: 0.0236  max mem: 10468
Epoch: [1]  [280/300]  eta: 0:00:19  lr: 0.000100  loss: 3.1786 (3.1689)  loss_bbox: 1.7550 (1.7011)  loss_giou: 1.4261 (1.4552)  loss_unlabelcons: 0.0103 (0.0126)  time: 0.9585  data: 0.0236  max mem: 10468
Epoch: [1]  [290/300]  eta: 0:00:09  lr: 0.000100  loss: 3.1569 (3.1632)  loss_bbox: 1.7000 (1.6958)  loss_giou: 1.4593 (1.4548)  loss_unlabelcons: 0.0128 (0.0126)  time: 1.0542  data: 0.0326  max mem: 10468
Epoch: [1]  [299/300]  eta: 0:00:00  lr: 0.000100  loss: 3.0271 (3.1616)  loss_bbox: 1.5502 (1.6942)  loss_giou: 1.4585 (1.4549)  loss_unlabelcons: 0.0086 (0.0125)  time: 1.0500  data: 0.0210  max mem: 10468
Epoch: [1] Total time: 0:04:56 (0.9882 s / it)
Averaged stats: lr: 0.000100  loss: 3.0271 (3.1616)  loss_bbox: 1.5502 (1.6942)  loss_giou: 1.4585 (1.4549)  loss_unlabelcons: 0.0086 (0.0125)
epoch imgs: 4800
Epoch: [2]  [  0/300]  eta: 0:15:07  lr: 0.000100  loss: 2.9506 (2.9506)  loss_bbox: 1.5568 (1.5568)  loss_giou: 1.3843 (1.3843)  loss_unlabelcons: 0.0095 (0.0095)  time: 3.0259  data: 1.7242  max mem: 10468
